Hour;Developer ID;Instance ID;Start time;Please specify your level of agreement with the occurrence of the refactoring indicated by the extension in the bottom.;List modifications related to the refactoring instance shown at the bottom, considering the three interactions (signature, shared variables, and calling main methods) and any other relevant relation or interaction.;End time;How difficult was it to identify and classify the refactoring-related modification?;How confident are you about your classification?;What factors made it challenging to determine the refactoring-related modifications?;Do you agree with the relationships proposed by the extension?;Is it possible to define a maximum distance value at which modifications are still exclusively related to the refactoring instance? If yes, what is the distance value?;Are there any refactoring-related not indicated by the extension (considering all distances) that you believe should be included? which ones?;Are there any refactoring-related indicated by the extension that you believe should not be included?;Have you changed your initial opinion about the refactoring-related modifications after observing the information provided by the extension?;Do you consider the visualization proposed by the extension reduces the effort to identify refactoring-related modifications?;
22/07/2024 17:54;2;T1-F2;14:08:00;4;File: modules/activiti-engine/src/main/java/org/activiti/engine/impl/bpmn/behavior/TerminateEndEventActivityBehavior.java [51-61];14:29:00;5;5;The code of the involved elements does not appear on the screen completely.;5;2;No;No;1;5;
22/07/2024 18:07;2;T2-F2;14:55:00;1;"File: moco-core/src/main/java/com/github/dreamhead/moco/handler/AbstractProxyResponseHandler.java [239-249]
File: moco-core/src/main/java/com/github/dreamhead/moco/handler/AbstractProxyResponseHandler.java [226]
File: moco-core/src/main/java/com/github/dreamhead/moco/handler/AbstractProxyResponseHandler.java [82-86]
File: moco-core/src/main/java/com/github/dreamhead/moco/handler/AbstractProxyResponseHandler.java [230]";15:02:00;4;4;Nothing special.;3;2;Yes, File: moco-core/src/main/java/com/github/dreamhead/moco/handler/AbstractProxyResponseHandler.java [82,86];Yes, File: moco-core/src/main/java/com/github/dreamhead/moco/handler/AbstractProxyResponseHandler.java [229,240];2;5;
22/07/2024 18:13;2;T4-M1;15:09:00;5;"File: APIJSON-Java-Server/APIJSONDemo/src/main/java/apijson/demo/server/DemoParser.java [128-133]
File: APIJSON-Java-Server/APIJSONLibrary/src/main/java/zuo/biao/apijson/server/AbstractParser.java [343-345]";15:11:00;1;4;None in particular.;4;3;No;No;2;5;
22/07/2024 18:23;2;T4-D1;15:18:00;5;"File: shenyu-admin/src/main/java/org/apache/shenyu/admin/spring/LocalDataSourceLoader.java [107-109]
File: shenyu-admin/src/main/java/org/apache/shenyu/admin/spring/ScriptLoader.java [71-73]";15:20:00;4;4;The number of files modified in the commit.;4;3;No;No;3;5;
22/07/2024 18:30;2;T5-F1;15:22:00;4;"File: modules/activiti-engine/src/main/java/org/activiti/Execution.java [35]
File: modules/activiti-engine/src/main/java/org/activiti/ProcessInstance.java [37]";15:29:00;4;4;The change is just a method call, in addition to the number of modified files.;5;0;No;No;1;5;
22/07/2024 20:06;2;T5-M1;17:00:00;4;"File: src/main/java/net/dv8tion/jda/core/managers/Presence.java [95-98]
File: src/main/java/net/dv8tion/jda/core/managers/impl/PresenceImpl.java [53-56]";17:04:00;1;4;The number of files and lines modified.;4;2;No;No;1;5;
22/07/2024 21:10;2;T5-D1;18:06:00;5;"File: modules/activiti-engine/src/main/java/org/activiti/engine/impl/pvm/process/ProcessDefinitionImpl.java [181-195]
File: modules/activiti-engine/src/main/java/org/activiti/engine/impl/persistence/entity/ProcessDefinitionEntity.java [326-340]";18:08:00;1;4;No major challenges.;5;1;No;No;5;5;
22/07/2024 21:14;2;T6-F1;18:10:00;5;"File: core/src/main/java/tk/mybatis/mapper/mapperhelper/MapperHelper.java [98-147]
File: core/src/main/java/tk/mybatis/mapper/mapperhelper/MapperHelper.java [97-134]
";18:13:00;1;4;No additional difficulty.;4;1;No;No;2;5;
22/07/2024 21:15;1;T1-F1;18:00:00;3;"File: modules/activiti-osgi/src/main/java/org/activiti/osgi/OsgiScriptingEngines.java
Lines: 39, [42-51], 60";18:04:00;3;3;I was not sure if the second evaluate method was related or not.;4;2;No;No;4;4;
22/07/2024 21:21;2;T6-M1;18:15:00;5;"File: modules/activiti-spring/src/test/java/org/activiti/spring/test/autodeployment/SpringAutoDeployTest.java [44-45]
File: modules/activiti-spring/src/test/java/org/activiti/spring/test/autodeployment/SpringAutoDeployTest.java [49-50, 62, 81, 88, 95, 124]";18:18:00;2;4;One difficulty, but not huge, is finding the renamed function calls.;4;0;No;Yes, File: modules/activiti-spring/src/test/java/org/activiti/spring/test/autodeployment/SpringAutoDeployTest.java [111];2;5;
